Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       61    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3292(<listcomp>)
       12    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2653(__init__)
        3    0.000    0.000    0.002    0.001 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1608(parseString)
    22930    0.002    0.000    0.002    0.000 {built-in method math.radians}
       48    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2576(from_location)
     5489    0.001    0.000    0.002    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:164(__getitem__)
        2    0.000    0.000    0.002    0.001 D:\Programmation\Pycharm\Python\Tank-Game\game.py:86(start_round)
        2    0.001    0.000    0.002    0.001 D:\Programmation\Pycharm\Python\Tank-Game\game.py:107(create_maze)
    11465    0.002    0.000    0.002    0.000 {built-in method math.sin}
       24    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:1396(has_metadata)
        6    0.000    0.000    0.002    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\enum.py:445(_convert_)
        1    0.000    0.000    0.002    0.002 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\bz2.py:1(<module>)
       34    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
        1    0.000    0.000    0.002    0.002 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:945(Environment)
        1    0.000    0.000    0.002    0.002 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:162(get_supported_platform)
        1    0.000    0.000    0.002    0.002 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:372(get_build_platform)
        1    0.000    0.000    0.002    0.002 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4904(makeHTMLTags)
        1    0.000    0.000    0.002    0.002 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4875(_makeTags)
        9    0.000    0.000    0.002    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ntpath.py:625(realpath)
      288    0.001    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:271(__init__)
        1    0.000    0.000    0.002    0.002 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\__init__.py:4(<module>)
      782    0.002    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\tank.py:57(get_inputs)
  950/233    0.001    0.000    0.002    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:174(getwidth)
      230    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2344(_normalize_cached)
        8    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2327(normalize_path)
       25    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:1598(_has)
       25    0.000    0.000    0.002    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\genericpath.py:16(exists)
        1    0.000    0.000    0.002    0.002 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\calendar.py:1(<module>)
       20    0.001    0.000    0.001    0.000 {built-in method nt._getfinalpathname}
      104    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\traceback.py:285(line)
       48    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2563(__init__)
    14186    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      177    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\enum.py:289(__call__)
        1    0.000    0.000    0.001    0.001 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\markers.py:4(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\textwrap.py:1(<module>)
       78    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\linecache.py:26(getline)
       78    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\linecache.py:36(getlines)
       81    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       77    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.001    0.001 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\linecache.py:80(updatecache)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
       14    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2102(safe_listdir)
      858    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\random.py:334(randint)
        7    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\enum.py:392(_create_)
        1    0.000    0.000    0.001    0.001 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\textwrap.py:17(TextWrapper)
        2    0.000    0.000    0.001    0.001 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2254(declare_namespace)
      144    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:96(closegroup)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1259(_path_hooks)
      471    0.001    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\copy.py:258(_reconstruct)
    111/5    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3319(streamline)
     2065    0.001    0.000    0.001    0.000 {built-in method pygame.mouse.get_pos}
       48    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:1312(safe_version)
     1406    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\email\charset.py:5(<module>)
     1482    0.001    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:187(_parse_version_parts)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
     7026    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pygame\freetype.py:1(<module>)
1793/1789    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\xml\parsers\expat.py:1(<module>)
      154    0.001    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\bullet.py:30(get_bounds)
        1    0.000    0.000    0.001    0.001 D:\Programmation\Pycharm\Python\Tank-Game\game.py:40(<listcomp>)
      335    0.001    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
      858    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\random.py:290(randrange)
        1    0.000    0.000    0.001    0.001 D:\Programmation\Pycharm\Python\Tank-Game\game.py:90(end_round)
