Tue Jun 27 16:03:11 2023    profiling/output.dat

         8523774 function calls (8519569 primitive calls) in 14.574 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      210    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\socket.py:93(<lambda>)
      209    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\socket.py:88(<lambda>)
      208    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      208    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\socket.py:83(<lambda>)
      207    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\socket.py:78(<lambda>)
      196    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      196    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      195    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3392(<genexpr>)
      194    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:65(_combine_flags)
      192    0.000    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:107(__init__)
      192    0.001    0.000    0.002    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:205(_legacy_cmpkey)
      192    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      189    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      188    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:355(_escape)
      188    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2656(<genexpr>)
      186    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:314(<genexpr>)
      181    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:295(_class_escape)
      179    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ntpath.py:34(_get_bothseps)
      177    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\enum.py:289(__call__)
      175    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      170    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\enum.py:580(__new__)
      170    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2061(setWhitespaceChars)
      170    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3439(<genexpr>)
      168    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\__init__.py:2635(key)
      168    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      160    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:453(_get_iscased)
      160    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:76(<lambda>)
      160    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\packaging\version.py:74(__lt__)
      154    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:595(isstring)
      154    0.001    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\bullet.py:30(get_bounds)
      150    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
    148/3    0.000    0.000    0.001    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1370(_parseNoCache)
      148    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      144    0.000    0.000    0.008    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\genericpath.py:39(isdir)
      144    0.000    0.000    0.000    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:84(opengroup)
      144    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:96(closegroup)
      144    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
      142    0.000    0.000    0.001    0.000 C:\Users\samsa\AppData\Local\Programs\Python\Python39\lib\ntpath.py:180(split)
      142    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      139    0.000    0.000    0.000    0.000 D:\Programmation\Pycharm\Python\Tank-Game\venv\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3543(<genexpr>)
